Titre :;Agrégats monétaires France, M2 [encours];Composante française de l'agrégat monétaire M3 de la zone euro, encours (CVS-CJO)
Code série :;BSI1.M.FR.N.V.M20.A.1.U2.2300.Z01.E;BSI1.M.FR.Y.V.N30.X.1.U2.2300.Z01.E
Unité :;Euro (EUR);Euro (EUR)
Magnitude :;Millions (6);Millions (6)
Méthode d'observation :;Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2)
Oct 1998;637000;803105
Sep 1998;639032;794474
Aoû 1998;629012;786251
Jul 1998;641852;797113
Jun 1998;651216;793065
Mai 1998;639953;788789
Avr 1998;641411;795676
Mar 1998;634305;785332
Fév 1998;628572;780929
Jan 1998;629896;778526
Déc 1997;630335;772025
Nov 1997;603826;762659
Oct 1997;600478;757139
Sep 1997;597938;752036
Aoû 1997;597813;749415
Jul 1997;597403;748104
Jun 1997;588502;744532
Mai 1997;575720;734433
Avr 1997;577136;727995
Mar 1997;576296;730447
Fév 1997;565568;724770
Jan 1997;574364;723769
Déc 1996;589065;724338
Nov 1996;562160;729557
Oct 1996;558166;728879
Sep 1996;562848;735132
Aoû 1996;561726;730348
Jul 1996;563930;724150
Jun 1996;565271;724723
Mai 1996;555286;729317
Avr 1996;559422;725973
Mar 1996;560484;729206
Fév 1996;560285;735505
Jan 1996;572991;739588
Déc 1995;590249;744151
Nov 1995;550968;735082
Oct 1995;552622;729364
Sep 1995;558422;734382
Aoû 1995;552664;733931
Jul 1995;558344;724378
Jun 1995;554211;718810
Mai 1995;541522;712327
Avr 1995;548751;709424
Mar 1995;538692;703474
Fév 1995;532283;706593
Jan 1995;536114;693050
Déc 1994;542745;682472
Nov 1994;513408;681004
Oct 1994;517156;672635
Sep 1994;512045;662582
Aoû 1994;509937;664446
Jul 1994;518894;666334
Jun 1994;511514;662037
Mai 1994;498627;659358
Avr 1994;511712;662891
Mar 1994;506913;664165
Fév 1994;503181;665801
Jan 1994;512318;671380
Déc 1993;520872;675190
Nov 1993;493515;679906
Oct 1993;499748;685358
Sep 1993;497256;689012
Aoû 1993;495940;690143
Jul 1993;501978;691127
Jun 1993;506466;699145
Mai 1993;496752;702499
Avr 1993;501269;708401
Mar 1993;503720;717560
Fév 1993;494585;651182
Jan 1993;509314;652092
Déc 1992;524581;656947
Nov 1992;505044;655292
Oct 1992;503301;648821
Sep 1992;502794;648401
Aoû 1992;501475;645520
Jul 1992;505932;642629
Jun 1992;507589;642800
Mai 1992;507471;642942
Avr 1992;510366;639836
Mar 1992;506996;629825
Fév 1992;506534;623173
Jan 1992;516087;622891
Déc 1991;530243;629041
Nov 1991;510691;627144
Oct 1991;507923;623897
Sep 1991;514619;626072
Aoû 1991;515383;624762
Jul 1991;518959;620678
Jun 1991;521493;618794
Mai 1991;511563;617405
Avr 1991;520198;618556
Mar 1991;515151;612404
Fév 1991;513262;612078
Jan 1991;521755;606060
Déc 1990;542671;612002
Nov 1990;510168;598843
Oct 1990;516405;598626
Sep 1990;520560;597863
Aoû 1990;509487;587773
Jul 1990;519726;587147
Jun 1990;519238;584127
Mai 1990;506202;577614
Avr 1990;513420;573934
Mar 1990;513189;571202
Fév 1990;511545;568081
Jan 1990;527792;567895
Déc 1989;538592;562028
Nov 1989;512605;556264
Oct 1989;517002;553154
Sep 1989;513693;546839
Aoû 1989;505904;542916
Jul 1989;513256;539248
Jun 1989;505163;534264
Mai 1989;495839;531027
Avr 1989;500776;526972
Mar 1989;493901;523693
Fév 1989;492418;519543
Jan 1989;501524;514978
Déc 1988;510402;511184
Nov 1988;488694;511220
Oct 1988;491688;507846
Sep 1988;484343;502870
Aoû 1988;483621;502714
Jul 1988;490188;498127
Jun 1988;481108;493050
Mai 1988;475507;490241
Avr 1988;479667;484712
Mar 1988;473730;481237
Fév 1988;473405;477308
Jan 1988;485668;476726
Déc 1987;492693;473863
Nov 1987;470000;467600
Oct 1987;473679;463182
Sep 1987;468587;460010
Aoû 1987;463035;453561
Jul 1987;470322;450887
Jun 1987;467725;447138
Mai 1987;460170;443176
Avr 1987;464436;442246
Mar 1987;459283;437941
Fév 1987;458084;433839
Jan 1987;467075;430772
Déc 1986;471843;427205
Nov 1986;453273;425342
Oct 1986;454420;422905
Sep 1986;454333;420933
Aoû 1986;451233;418659
Jul 1986;454382;415627
Jun 1986;451171;412456
Mai 1986;446008;409972
Avr 1986;449814;407811
Mar 1986;450993;408475
Fév 1986;441394;402662
Jan 1986;444408;396384
Déc 1985;455851;398668
Nov 1985;435118;394266
Oct 1985;438209;394854
Sep 1985;436581;392142
Aoû 1985;429983;387609
Jul 1985;435164;386868
Jun 1985;433651;384598
Mai 1985;425016;382866
Avr 1985;433291;383765
Mar 1985;430680;381351
Fév 1985;427335;380290
Jan 1985;431632;376477
Déc 1984;440886;375655
Nov 1984;414772;367266
