Titre :;Composante française de l'agrégat monétaire M3 de la zone euro, encours (CVS-CJO)
Code série :;BSI1.M.FR.Y.V.N30.X.1.U2.2300.Z01.E
Unité :;Euro (EUR)
Magnitude :;Millions (6)
Méthode d'observation :;Fin de période (E)
Source :;Banque de France (FR2)
Aoû 2009;1654695
Sep 2009;1633121
Oct 2009;1616651
Nov 2009;1623666
Déc 2009;1639464
Jan 2010;1646592
Fév 2010;1633046
Mar 2010;1640933
Avr 2010;1665967
Mai 2010;1653875
Jun 2010;1674465
Jul 2010;1679324
Aoû 2010;1695589
Sep 2010;1715116
Oct 2010;1729878
Nov 2010;1744875
Déc 2010;1753825
Jan 2011;1745994
Fév 2011;1756404
Mar 2011;1762180
Avr 2011;1766693
Mai 2011;1758765
Jun 2011;1748958
Jul 2011;1745613
Aoû 2011;1766197
Sep 2011;1780703
Oct 2011;1765207
Nov 2011;1775395
Déc 2011;1791838
Jan 2012;1810981
Fév 2012;1793720
Mar 2012;1816031
Avr 2012;1797418
Mai 2012;1811489
Jun 2012;1813919
Jul 2012;1819534
Aoû 2012;1804111
Sep 2012;1803248
Oct 2012;1812446
Nov 2012;1803992
Déc 2012;1829580
Jan 2013;1836199
Fév 2013;1840447
Mar 2013;1846939
Avr 2013;1859075
Mai 2013;1860818
Jun 2013;1849784
Jul 2013;1845825
Aoû 2013;1852057
Sep 2013;1852394
Oct 2013;1835321
Nov 2013;1843690
Déc 2013;1830811
Jan 2014;1838258
Fév 2014;1847858
Mar 2014;1834179
Avr 2014;1815756
Mai 2014;1827004
Jun 2014;1839360
Jul 2014;1837372
Aoû 2014;1850487
Sep 2014;1864716
Oct 2014;1878869
Nov 2014;1895454
Déc 2014;1901292
Jan 2015;1906574
Fév 2015;1887659
Mar 2015;1879385
Avr 2015;1910499
Mai 2015;1889082
Jun 2015;1899208
Jul 2015;1914188
Aoû 2015;1917618
Sep 2015;1923857
Oct 2015;1953626
Nov 2015;1947580
Déc 2015;1941784
Jan 2016;1956564
Fév 2016;1969829
Mar 2016;1976298
Avr 2016;1986798
Mai 2016;1991738
Jun 2016;1994324
Jul 2016;2006889
Aoû 2016;2013028
Sep 2016;2018708
Oct 2016;2035463
Nov 2016;2052463
Déc 2016;2059003
Jan 2017;2073860
Fév 2017;2091323
Mar 2017;2117911
Avr 2017;2119009
Mai 2017;2130975
Jun 2017;2147413
Jul 2017;2146627
Aoû 2017;2176705
Sep 2017;2198142
Oct 2017;2202335
Nov 2017;2210350
Déc 2017;2221396
Jan 2018;2225967
Fév 2018;2225363
Mar 2018;2224685
Avr 2018;2243742
Mai 2018;2247630
Jun 2018;2267218
Jul 2018;2275354
Aoû 2018;2292570
Sep 2018;2285006
Oct 2018;2300344
Nov 2018;2305117
Déc 2018;2318577
Jan 2019;2335849
Fév 2019;2358766
Mar 2019;2357369
Avr 2019;2374342
Mai 2019;2378363
Jun 2019;2389149
Jul 2019;2408221
Aoû 2019;2443688
Sep 2019;2458588
Oct 2019;2479928
Nov 2019;2474267
Déc 2019;2451622
Jan 2020;2479134
Fév 2020;2517532
Mar 2020;2597710
Avr 2020;2614804
Mai 2020;2678493
Jun 2020;2718192
Jul 2020;2743152
Aoû 2020;2745912
Sep 2020;2829084
Oct 2020;2831093
